VOLCANO: ASKJA 373060
PSN: N6503 W01647
VOLCANIC ASH CONCENTRATION: LOW 200 MICROGRAMS PER CUBIC METRE CONTOUR
LOW; 200 MICROGRAMS PER CUBIC METRE CONTOUR
ISSUE TYPE: EXERCISE
MODEL RUN: 20190510/1200
ISSUE TIME: 20190510/1236
VALIDITY TIME: 20190510/1800
FLIGHT LEVEL: FL200/FL350
REMARKS: EXERCISE EXERCISE VA MOV SE AT 20KT EXERCISE EXERCISE
ORIGINATOR: LONDON VAAC
POLY 1
N643913,W0133959
N641413,W0122725
N632750,W0111800
N624209,W0104304
N621849,W0100856
N620556,W0100254
N611839,W0100248
N610318,W0100918
N603441,W0105722
N605855,W0121407
N614411,W0132241
N623004,W0153856
N633930,W0172259
N641942,W0175355
N641949,W0181921
N642350,W0182937
N644124,W0183828
N645732,W0183103
N652432,W0174853
N652520,W0160140
N643913,W0133959
